City,Country Code,Lat,Lon,Date,Temp (F),Humidity,Cloudiness,Wind Speed
yerbogachen,ru,61.28,108.01,2018-10-19 17:13:43,25.14,79,80,3.96
flinders,au,-34.58,150.85,2018-10-19 16:00:00,62.6,88,8,3.74
paita,pe,-5.09,-81.11,2018-10-19 16:00:00,73.4,73,75,13.87
pisco,pe,-13.71,-76.2,2018-10-19 16:00:00,64.4,82,24,13.87
grindavik,is,63.84,-22.43,2018-10-19 16:30:00,41.7,70,75,20.8
kavaratti,in,10.57,72.64,2018-10-19 17:13:45,83.69,100,12,2.17
mackay,au,-21.15,149.2,2018-10-19 16:00:00,75.2,78,75,8.05
doba,td,8.66,16.85,2018-10-19 17:13:46,82.29,48,0,4.52
sao joao da barra,br,-21.64,-41.05,2018-10-19 16:00:00,87.8,58,20,13.87
abadan,ir,30.36,48.26,2018-10-19 17:00:00,85.35,30,0,6.93
varkaus,fi,62.32,27.87,2018-10-19 16:50:00,42.8,87,40,6.93
finale ligure,it,44.17,8.34,2018-10-19 16:55:00,67.98,49,0,9.17
gamba,ga,-2.72,10.02,2018-10-19 17:13:47,78.47,98,100,8.55
blackwater,au,-23.58,148.88,2018-10-19 17:13:47,64.65,95,8,6.42
lorengau,pg,-2.02,147.27,2018-10-19 17:13:48,79.14,100,92,2.73
gagnoa,ci,6.13,-5.95,2018-10-19 17:13:33,81.71,73,44,3.4
cheyenne,us,41.14,-104.82,2018-10-19 16:58:00,55.4,28,1,11.41
arauca,co,5.11,-75.7,2018-10-19 16:00:00,71.71,72,40,4.7
alibag,in,18.64,72.88,2018-10-19 17:00:00,82.4,74,40,3.36
amazar,ru,53.86,120.88,2018-10-19 17:13:49,24.29,78,8,2.17
college,us,64.86,-147.8,2018-10-19 16:58:00,30.7,74,1,9.17
port-cartier,ca,50.03,-66.88,2018-10-19 16:00:00,33.8,31,40,8.05
peleduy,ru,59.63,112.75,2018-10-19 17:13:50,26.4,88,32,1.61
padang,id,-0.92,100.36,2018-10-19 17:13:51,81.26,100,48,4.07
bemidji,us,47.48,-94.89,2018-10-19 16:43:00,52.88,46,1,20.8
ulladulla,au,-35.36,150.48,2018-10-19 16:00:00,62.6,88,20,10.22
bluefield,us,37.27,-81.22,2018-10-19 16:55:00,60.8,51,1,10.29
vytegra,ru,61.01,36.45,2018-10-19 17:13:52,43.77,100,92,17.27
hay river,ca,60.82,-115.79,2018-10-19 16:00:00,19.4,92,40,3.51
honiara,sb,-9.43,159.96,2018-10-19 16:00:00,75.2,94,20,4.7
layou,vc,13.2,-61.27,2018-10-19 17:13:53,78.11,100,92,15.82
grafton,au,-29.69,152.93,2018-10-19 17:13:53,60.42,98,64,2.39
kamenz,de,51.27,14.09,2018-10-19 16:50:00,51.8,87,75,2.24
diamantino,br,-14.4,-56.44,2018-10-19 17:13:54,86.75,80,20,4.18
xining,cn,36.62,101.77,2018-10-19 17:13:54,33.02,94,56,2.62
mizdah,ly,31.45,12.98,2018-10-19 17:13:54,71.45,32,32,6.76
puntarenas,cr,9.98,-84.84,2018-10-19 17:00:00,80.6,69,0,9.17
nome,us,30.04,-94.42,2018-10-19 16:55:00,76.96,65,1,8.05
sisimiut,gl,66.94,-53.67,2018-10-19 17:14:15,7.59,100,8,2.51
kedougou,sn,12.56,-12.19,2018-10-19 16:00:00,95,53,40,6.93
harlingen,nl,53.18,5.41,2018-10-19 16:55:00,51.84,76,90,3.36
margate,za,-30.86,30.37,2018-10-19 17:14:17,67.94,94,92,19.06
sampit,id,-2.54,112.95,2018-10-19 17:14:17,76.89,81,76,7.2
kungurtug,ru,50.6,97.53,2018-10-19 17:14:17,25.5,80,64,3.4
pacific grove,us,36.62,-121.92,2018-10-19 16:55:00,55.74,51,1,2.73
san carlos de bariloche,ar,-41.13,-71.31,2018-10-19 16:00:00,41,80,90,9.17
shimoda,jp,34.7,138.93,2018-10-19 17:14:18,63.44,100,92,18.5
general roca,ar,-39.03,-67.58,2018-10-19 16:27:00,44.6,93,75,10.29
jarvakandi,ee,58.78,24.83,2018-10-19 16:50:00,44.6,81,0,9.17
palmares,cr,10.06,-84.43,2018-10-19 17:00:00,78.3,69,0,9.17
yulara,au,-25.24,130.99,2018-10-19 16:00:00,71.6,33,0,10.29
farah,af,32.37,62.11,2018-10-19 17:14:20,47.87,71,0,2.51
miquelon,pm,47.1,-56.38,2018-10-19 17:00:00,41,75,75,25.28
ashtabula,us,41.87,-80.79,2018-10-19 16:53:00,54.52,50,1,13.87
le port,re,-20.94,55.29,2018-10-19 16:30:00,74.35,88,90,2.24
montepuez,mz,-13.13,39,2018-10-19 17:14:22,70.01,87,68,2.51
porbandar,in,21.64,69.61,2018-10-19 17:14:22,78.6,80,0,6.76
ornskoldsvik,se,63.29,18.72,2018-10-19 16:50:00,41,75,0,6.93
tocopilla,cl,-22.09,-70.2,2018-10-19 17:14:23,64.2,100,0,7.99
lovozero,ru,68.01,35.02,2018-10-19 17:14:23,32.25,100,80,3.96
jardim,br,-21.48,-56.15,2018-10-19 17:14:23,84.45,81,76,5.64
olovyannaya,ru,50.94,115.59,2018-10-19 17:14:24,23.57,60,0,4.63
bojnurd,ir,37.47,57.33,2018-10-19 16:00:00,51.8,53,0,2.17
birakan,ru,49.02,131.7,2018-10-19 17:14:24,25.5,73,24,2.62
houma,us,29.6,-90.72,2018-10-19 16:49:00,83.55,70,40,8.05
road town,vg,18.42,-64.62,2018-10-19 17:00:00,87.8,66,40,12.75
henties bay,na,-22.12,14.28,2018-10-19 17:14:25,60.15,89,0,3.06
labuan,my,5.33,115.2,2018-10-19 16:30:00,74.3,100,75,3.06
tabou,ci,4.42,-7.36,2018-10-19 17:14:26,76.58,100,36,2.73
bhum,in,18.47,75.67,2018-10-19 17:14:26,70.64,67,24,3.74
praia da vitoria,pt,38.73,-27.07,2018-10-19 16:00:00,69.8,68,20,10.11
marawi,sd,18.48,31.82,2018-10-19 17:14:27,77.34,25,0,5.53
nizhniy tsasuchey,ru,50.52,115.13,2018-10-19 17:14:28,29.24,56,0,6.53
vostok,ru,46.45,135.83,2018-10-19 17:14:28,21.9,69,0,2.06
tongzi,cn,28.78,105.09,2018-10-19 17:14:28,60.29,100,92,4.18
boa vista,br,2.82,-60.67,2018-10-19 17:00:00,86,58,75,8.05
libreville,ga,0.39,9.45,2018-10-19 16:30:00,82.4,78,40,10.29
lombardia,mx,19.15,-102.03,2018-10-19 15:42:00,73.4,69,75,3.18
mettur,in,11.8,77.8,2018-10-19 17:14:31,70.82,94,12,4.18
rameswaram,in,9.28,79.3,2018-10-19 17:14:31,82.65,100,32,2.95
tecoanapa,mx,16.99,-99.26,2018-10-19 15:48:00,86,70,75,8.05
doctor arroyo,mx,23.67,-100.18,2018-10-19 17:14:32,71,63,12,4.07
kununurra,au,-15.77,128.74,2018-10-19 16:30:00,80.6,69,40,4.7
hirara,jp,24.8,125.28,2018-10-19 17:14:33,75.72,100,24,17.05
chicama,pe,-7.84,-79.15,2018-10-19 16:00:00,69.8,68,40,12.75
roebourne,au,-20.77,117.15,2018-10-19 17:14:53,62.72,71,0,4.52
sorland,no,67.67,12.69,2018-10-19 16:50:00,47.23,93,75,14.99
tchollire,cm,8.4,14.17,2018-10-19 17:14:54,77.93,73,0,2.62
chhatarpur,in,24.92,79.59,2018-10-19 17:14:57,74.19,39,0,2.39
vanavara,ru,60.35,102.28,2018-10-19 17:14:58,27.39,85,48,3.74
nishihara,jp,35.74,139.53,2018-10-19 17:00:00,59.04,76,40,4.7
kibre mengist,et,5.87,38.99,2018-10-19 17:14:58,57.54,96,64,2.39
pundaguitan,ph,6.37,126.17,2018-10-19 17:14:59,80.94,100,36,3.06
dhidhdhoo,mv,6.88,73.1,2018-10-19 17:14:59,83.37,100,92,3.51
little current,ca,45.98,-81.93,2018-10-19 16:00:00,51.8,76,20,18.34
zhicheng,cn,35.04,112.59,2018-10-19 17:15:00,50.12,67,92,3.96
chapais,ca,49.78,-74.86,2018-10-19 16:00:00,33.8,85,90,11.41
pachino,it,36.72,15.09,2018-10-19 15:50:00,71.6,64,20,8.05
oktyabrskiy,ru,55.61,37.97,2018-10-19 16:30:00,55.38,71,40,6.71
kinlochleven,gb,56.71,-4.97,2018-10-19 15:50:00,53.6,71,40,13.87
wanaka,nz,-44.7,169.14,2018-10-19 17:15:02,32.21,93,68,2.39
tondano,id,1.3,124.91,2018-10-19 16:30:00,75.2,94,20,4.7
jobabo,cu,20.91,-77.28,2018-10-19 17:15:03,85.35,67,44,14.7
sao jeronimo,br,-29.96,-51.72,2018-10-19 16:00:00,76.1,57,75,13.87
korla,cn,41.76,86.15,2018-10-19 17:15:03,21.99,82,0,3.4
quatre cocos,mu,-20.21,57.76,2018-10-19 16:00:00,75.2,83,40,5.82
churapcha,ru,62,132.43,2018-10-19 17:15:04,24.02,84,88,2.73
vetapalem,in,15.78,80.32,2018-10-19 17:15:04,81.57,98,24,5.75
belyy yar,ru,53.6,91.39,2018-10-19 16:30:00,30.2,100,40,2.95
lander,us,42.83,-108.73,2018-10-19 16:55:00,51.73,30,1,4.7
benjamin constant,br,-4.38,-70.03,2018-10-19 17:00:00,86.67,79,0,4.7
guilin,cn,25.28,110.29,2018-10-19 17:00:00,62.6,93,90,4.47
swan river,ca,52.11,-101.27,2018-10-19 17:15:06,45.75,62,32,12.8
saint-jean-de-maurienne,fr,45.28,6.35,2018-10-19 17:00:00,59,82,0,1.16
bonthe,sl,7.53,-12.5,2018-10-19 17:15:07,82.74,79,24,4.74
olden,no,61.84,6.81,2018-10-19 16:50:00,51.06,61,75,5.82
boyabat,tr,41.47,34.77,2018-10-19 15:50:00,68,77,75,3.36
bandarbeyla,so,9.49,50.81,2018-10-19 17:15:08,75.86,100,88,5.75
dandong,cn,40.12,124.37,2018-10-19 17:16:15,34.32,78,0,2.62
de aar,za,-30.65,24.01,2018-10-19 17:15:09,67.58,33,20,16.49
myitkyina,mm,25.38,97.4,2018-10-19 17:15:09,68.66,94,0,2.06
luzhou,cn,28.89,105.45,2018-10-19 17:15:09,59.52,100,92,2.62
bang saphan,th,11.21,99.51,2018-10-19 17:15:10,74.51,100,56,5.64
beauvais,fr,49.44,2.09,2018-10-19 17:00:00,58.3,71,20,4.7
rawson,ar,-43.3,-65.11,2018-10-19 17:15:11,57.54,46,56,12.57
richards bay,za,-28.77,32.06,2018-10-19 17:15:11,70.77,75,64,10
manicore,br,-5.81,-61.3,2018-10-19 16:00:00,84.2,74,75,5.82
neijiang,cn,29.59,105.06,2018-10-19 17:15:12,58.89,97,100,6.76
melnikovo,ru,56.55,84.09,2018-10-19 17:15:12,39.27,68,80,4.63
barreirinhas,br,-2.75,-42.83,2018-10-19 17:15:13,94.94,40,0,14.58
cherkasskoye,ru,52.43,47.21,2018-10-19 17:15:13,48.68,78,0,8.55
fortuna,us,40.6,-124.16,2018-10-19 17:08:00,47.26,100,90,3.62
yumen,cn,40.29,97.04,2018-10-19 17:15:14,28.34,72,0,3.06
rio grande,br,-32.03,-52.1,2018-10-19 16:00:00,71.6,60,75,13.87
marystown,ca,47.17,-55.16,2018-10-19 17:15:14,44.45,97,36,6.08
fallon,us,46.84,-105.12,2018-10-19 15:56:00,50,46,20,10.29
franklin park,us,41.94,-87.87,2018-10-19 16:35:00,50.88,76,90,11.41
lokosovo,ru,61.13,74.84,2018-10-19 17:15:37,31.62,95,88,4.52
presidencia roque saenz pena,ar,-26.79,-60.44,2018-10-19 17:15:37,85.17,59,92,15.48
teahupoo,pf,-17.83,-149.27,2018-10-19 16:30:00,78.8,69,20,2.24
muyezerskiy,ru,63.93,31.65,2018-10-19 17:15:37,41.66,95,88,7.09
athens,us,33.96,-83.39,2018-10-19 16:35:00,64.72,48,75,3.51
gao,ml,16.28,-0.04,2018-10-19 17:15:39,93.27,26,20,3.18
bulgan,mn,48.81,103.53,2018-10-19 17:15:39,31.17,57,0,6.98
killam,ca,52.79,-111.86,2018-10-19 17:15:39,49.31,42,0,8.55
belaya gora,ru,68.54,146.19,2018-10-19 17:15:40,9.75,83,68,5.75
adrar,dz,27.87,-0.29,2018-10-19 16:00:00,91.4,16,0,17.22
san andres,co,8.22,-76.58,2018-10-19 16:00:00,86,70,40,13.87
ishigaki,jp,24.34,124.16,2018-10-19 17:15:41,75.86,100,8,16.26
kentau,kz,43.52,68.5,2018-10-19 17:15:41,20.42,68,24,2.73
taltal,cl,-25.41,-70.49,2018-10-19 17:15:41,67.62,73,0,3.51
tooele,us,40.53,-112.3,2018-10-19 16:56:00,52.97,54,1,4.7
pangnirtung,ca,66.15,-65.72,2018-10-19 17:15:42,20.19,100,80,7.43
omsukchan,ru,62.53,155.8,2018-10-19 17:15:43,10.07,93,88,2.73
kirsanov,ru,52.65,42.73,2018-10-19 17:15:43,48.59,73,8,9.22
kashi,cn,39.45,75.98,2018-10-19 17:00:00,46.4,22,0,8.95
esmeraldas,ec,-1.87,-79.8,2018-10-19 16:00:00,78.8,69,90,12.75
zaysan,kz,47.47,84.87,2018-10-19 17:15:45,26.72,86,80,3.18
mandera,ke,3.94,41.87,2018-10-19 17:15:45,73.47,91,0,4.41
narsaq,gl,60.91,-46.05,2018-10-19 16:50:00,32,74,75,3.36
seoul,kr,37.57,126.98,2018-10-19 17:00:00,45.95,93,0,2.24
kadoma,zw,-18.34,29.91,2018-10-19 17:15:46,76.13,51,0,8.66
la libertad,sv,13.49,-89.32,2018-10-19 15:50:00,76.01,78,40,4.7
sola,vu,-13.88,167.55,2018-10-19 17:15:46,80.36,97,88,8.66
dingle,ie,52.14,-10.27,2018-10-19 17:15:47,55.61,95,88,15.03
sistranda,no,63.73,8.83,2018-10-19 16:50:00,48.2,76,75,12.75
manokwari,id,-0.87,134.08,2018-10-19 17:15:47,77.84,100,88,5.41
labuhan,id,-2.54,115.51,2018-10-19 17:15:48,70.82,96,20,2.06
siculeni,ro,46.44,25.75,2018-10-19 17:15:48,50.75,71,64,0.94
roma,au,-26.57,148.79,2018-10-19 17:15:48,64.25,91,0,11.23
macia,mz,-25.03,33.09,2018-10-19 17:15:49,70.77,69,0,5.08
marti,cu,21.15,-77.45,2018-10-19 15:50:00,86,66,40,17.22
fort nelson,ca,58.81,-122.69,2018-10-19 17:00:00,35.6,74,75,5.82
klyuchi,ru,52.25,79.17,2018-10-19 17:15:49,31.8,83,48,9.22
muli,mv,2.92,73.57,2018-10-19 17:15:50,83.1,100,8,3.74
khoy,ir,38.55,44.95,2018-10-19 17:12:14,49.31,94,56,3.62
kigali,rw,-1.95,30.06,2018-10-19 16:30:00,62.6,93,75,3.36
terra santa,br,-2.1,-56.49,2018-10-19 17:15:51,93.68,50,48,3.4
tiarei,pf,-17.53,-149.33,2018-10-19 16:30:00,78.8,69,20,2.24
fuerte olimpo,py,-21.04,-57.87,2018-10-19 17:15:51,84.45,93,68,5.08
coatepec harinas,mx,18.89,-99.72,2018-10-19 15:46:00,67.96,57,75,2.62
ahipara,nz,-35.17,173.16,2018-10-19 17:15:52,54.84,99,80,4.97
truro,gb,50.26,-5.05,2018-10-19 16:50:00,57.2,82,75,2.24
la peca,pe,-5.61,-78.44,2018-10-19 17:15:52,78.24,78,32,1.72
sudbury,ca,46.49,-80.99,2018-10-19 16:00:00,55.4,62,75,20.8
derzhavinsk,kz,51.1,66.31,2018-10-19 17:15:54,39.59,94,92,11.56
rundu,na,-17.91,19.77,2018-10-19 17:15:54,87.15,18,24,8.43
nueva loja,ec,0.08,-76.88,2018-10-19 16:00:00,84.2,70,40,2.24
panji,id,-0.41,116.99,2018-10-19 17:15:55,74.69,98,36,2.17
iralaya,hn,15,-83.23,2018-10-19 17:16:15,81.39,98,76,4.52
vila franca do campo,pt,37.72,-25.43,2018-10-19 17:00:00,68,64,40,8.05
tanout,ne,14.97,8.88,2018-10-19 17:16:16,90.39,12,0,11.12
tilichiki,ru,60.47,166.1,2018-10-19 17:16:17,26.81,84,8,7.65
dale,no,61.36,5.4,2018-10-19 16:50:00,48.27,81,75,8.05
horsham,au,-36.71,142.2,2018-10-19 17:16:17,53.9,68,48,14.7
waipawa,nz,-39.94,176.59,2018-10-19 17:16:18,54.89,72,0,16.82
kyrylivka,ua,47.32,37.67,2018-10-19 17:16:18,52.32,81,12,4.52
zhuhai,cn,40.71,112.04,2018-10-19 16:00:00,42.8,87,40,4.47
tessalit,ml,20.2,1.01,2018-10-19 17:16:19,87.38,22,64,3.4
usinsk,ru,66,57.56,2018-10-19 17:16:19,28.52,94,88,8.77
gondanglegi,id,-7.75,112.01,2018-10-19 17:16:19,69.15,88,24,6.53
mokhsogollokh,ru,61.4,128.95,2018-10-19 17:16:20,27.26,92,88,5.64
wanlaweyn,so,2.62,44.89,2018-10-19 17:16:20,76.85,76,0,7.99
san ramon,bo,-13.27,-64.62,2018-10-19 16:00:00,85.23,74,75,6.93
duluth,us,46.77,-92.13,2018-10-19 16:55:00,58.08,55,1,16.11
jalu,ly,29.03,21.55,2018-10-19 17:16:21,83.78,18,0,7.99
arivonimamo,mg,-19.01,47.18,2018-10-19 16:30:00,71.6,49,20,8.05
kudahuvadhoo,mv,2.67,72.89,2018-10-19 17:16:22,83.51,100,20,3.18
cagliliog,ph,13.9,123.29,2018-10-19 17:16:22,80.94,77,88,9.1
kindia,gn,10.05,-12.86,2018-10-19 17:16:22,80.94,89,0,2.62
itaituba,br,-4.26,-55.99,2018-10-19 16:00:00,96.8,50,40,13.87
